vocabulary,ni,occurrences
"4,8",4,"[['2', 5], ['3', 11], ['4', 10], ['7', 11]]"
"4,9",3,"[['3', 2], ['4', 5], ['7', 2]]"
4013,1,"[['9', 1]]"
4.2,2,"[['16', 1], ['18', 1]]"
4.2%,1,"[['18', 2]]"
4234,1,"[['2', 1]]"
4.4,1,"[['24', 1]]"
4.5,1,"[['24', 4]]"
4561,1,"[['22', 1]]"
4.7,1,"[['24', 3]]"
4.79,1,"[['18', 1]]"
4.86,1,"[['16', 1]]"
4.9,1,"[['23', 2]]"
40000,1,"[['2', 1]]"
400.,1,"[['9', 1]]"
4000mah,2,"[['15', 1], ['23', 1]]"
402ppi,1,"[['15', 1]]"
41039,1,"[['2', 3]]"
4250mah,1,"[['15', 1]]"
43603,1,"[['2', 1]]"
"431,9",1,"[['22', 1]]"
"435,05",1,"[['22', 1]]"
"435,61",1,"[['22', 1]]"
44%,1,"[['22', 2]]"
"440,54",1,"[['22', 1]]"
"464,36",1,"[['21', 1]]"
47960950,1,"[['43', 1]]"
"471,22",1,"[['22', 1]]"
480gb,1,"[['60', 1]]"
48mp,2,"[['3', 1], ['8', 2]]"
48t03la#ak4,1,"[['60', 1]]"
49%,1,"[['22', 1]]"
"492,09",1,"[['21', 1]]"
"494,43",2,"[['22', 1], ['24', 2]]"
4999mah,1,"[['15', 1]]"
4d094br,1,"[['69', 2]]"
4gb,6,"[['2', 3], ['8', 3], ['11', 3], ['22', 1], ['43', 1], ['60', 2]]"
4gbram,3,"[['2', 13], ['8', 7], ['11', 2]]"
4ram,1,"[['2', 1]]"
5,5,"[['3', 11], ['4', 9], ['7', 5], ['8', 3], ['9', 6]]"
"5,4",1,"[['8', 1]]"
"5,5",2,"[['8', 1], ['16', 4]]"
"5,99",1,"[['16', 1]]"
5.0,1,"[['24', 3]]"
5.000mah,1,"[['69', 1]]"
5050,1,"[['2', 2]]"
5.0mp,1,"[['16', 1]]"
5.1,1,"[['11', 1]]"
5160,1,"[['3', 1]]"
5.2,1,"[['15', 1]]"
5553,1,"[['9', 1]]"
5.8,1,"[['9', 2]]"
50%.,1,"[['3', 1]]"
5000mah,6,"[['8', 3], ['11', 2], ['18', 1], ['69', 1], ['70', 2], ['71', 3]]"
500nits,1,"[['15', 1]]"
500w,1,"[['60', 1]]"
"504,57",1,"[['22', 1]]"
50mp,1,"[['11', 2]]"
50q60a,1,"[['60', 1]]"
512gb,6,"[['11', 1], ['21', 3], ['22', 7], ['24', 2], ['43', 1], ['60', 1]]"
5160mah,1,"[['3', 1]]"
"525,37",1,"[['20', 1]]"
"537,68",1,"[['22', 1]]"
"541,26",1,"[['22', 1]]"
"544,41",1,"[['22', 1]]"
"545,9",1,"[['22', 1]]"
"547,56",1,"[['21', 1]]"
55%,1,"[['22', 1]]"
"580,84",1,"[['23', 1]]"
"597,27",1,"[['24', 1]]"
5gbps,1,"[['2', 1]]"
5gram,1,"[['2', 1]]"
5mp,4,"[['2', 2], ['8', 4], ['16', 1], ['75', 3]]"
5mp.,1,"[['75', 1]]"
"6,1",2,"[['68', 1], ['74', 1]]"
"6,26",1,"[['69', 1]]"
"6,4",1,"[['8', 1]]"
"6,49",3,"[['11', 1], ['15', 1], ['18', 1]]"
"6,5",4,"[['2', 2], ['8', 1], ['11', 3], ['70', 2]]"
"6,52",1,"[['18', 2]]"
"6,53",1,"[['2', 1]]"
"6,55",1,"[['15', 3]]"
"6,67",1,"[['3', 2]]"
"6,7",2,"[['18', 1], ['43', 1]]"
"6,81",1,"[['15', 1]]"
"6,99",3,"[['11', 1], ['15', 1], ['18', 1]]"
6040,1,"[['2', 1]]"
6.1,5,"[['2', 2], ['8', 1], ['9', 3], ['21', 1], ['22', 1]]"
6.2,2,"[['3', 1], ['8', 1]]"
6.3,1,"[['2', 3]]"
6329,1,"[['2', 2]]"
6.4,4,"[['2', 1], ['8', 4], ['9', 4], ['23', 3]]"
6.5,4,"[['2', 3], ['8', 9], ['9', 3], ['70', 1]]"
6.53,1,"[['2', 1]]"
6575,1,"[['9', 1]]"
6.67,2,"[['3', 2], ['7', 1]]"
6.7,2,"[['8', 2], ['9', 1]]"
6822,1,"[['2', 1]]"
60%,2,"[['1', 1], ['22', 1]]"
"606,94",1,"[['20', 1]]"
60fps,1,"[['15', 1]]"
60hz,1,"[['3', 1]]"
"634,73",1,"[['22', 1]]"
6380mah,1,"[['18', 1]]"
640ram,1,"[['3', 1]]"
"642,14",1,"[['22', 1]]"
642lram,1,"[['15', 1]]"
64g,1,"[['22', 1]]"
64gb,7,"[['2', 16], ['8', 7], ['11', 5], ['22', 42], ['23', 2], ['24', 26], ['69', 3]]"
64l,1,"[['8', 1]]"
64mp,3,"[['2', 1], ['8', 1], ['15', 1]]"
650mhzram,1,"[['16', 1]]"
"652,96",1,"[['24', 1]]"
66.5,1,"[['16', 1]]"
"662,19",1,"[['22', 1]]"
"663,38",1,"[['22', 1]]"
"684,65",1,"[['22', 1]]"
6gb,7,"[['2', 8], ['3', 6], ['4', 1], ['7', 1], ['8', 1], ['18', 5], ['23', 2]]"
6gbram,8,"[['2', 19], ['3', 8], ['4', 9], ['7', 7], ['8', 1], ['9', 1], ['23', 1], ['69', 2]]"
6ggbram,1,"[['2', 1]]"
6tb,1,"[['60', 1]]"
"7,9",1,"[['8', 1]]"
7.1,1,"[['60', 1]]"
7429,1,"[['9', 1]]"
7.68,1,"[['3', 1]]"
700w,1,"[['43', 1]]"
"713,91",1,"[['24', 1]]"
72%,1,"[['24', 2]]"
720p,3,"[['11', 2], ['15', 2], ['16', 1]]"
73%,1,"[['3', 1]]"
"741,95",1,"[['22', 1]]"
"75,53",1,"[['11', 1]]"
"75,73",1,"[['15', 1]]"
75.7,1,"[['18', 1]]"
76%,1,"[['22', 1]]"
77%,1,"[['3', 1]]"
778g,1,"[['15', 3]]"
78%,1,"[['9', 1]]"
79%,1,"[['4', 1]]"
7999mah,2,"[['11', 1], ['18', 1]]"
7cm,1,"[['15', 1]]"
"8,92",1,"[['11', 1]]"
8636,3,"[['3', 2], ['4', 1], ['7', 1]]"
8.9,1,"[['9', 1]]"
800nits,1,"[['15', 1]]"
802.11a,2,"[['15', 1], ['16', 1]]"
802.11ac,1,"[['18', 1]]"
80w,1,"[['2', 2]]"
"816,38",1,"[['22', 1]]"
82%,1,"[['7', 1]]"
82cgs00100,1,"[['60', 1]]"
"830,39",1,"[['20', 1]]"
855chip,1,"[['23', 1]]"
87075,1,"[['22', 1]]"
"873,19",2,"[['20', 1], ['22', 1]]"
"874,83",1,"[['20', 1]]"
"877,22",1,"[['22', 2]]"
88%,2,"[['3', 1], ['7', 1]]"
88.6%,1,"[['16', 1]]"
"883,67",1,"[['20', 1]]"
8gb,6,"[['2', 1], ['9', 1], ['15', 5], ['21', 1], ['22', 2], ['60', 1]]"
8gbram,9,"[['2', 8], ['3', 4], ['4', 6], ['7', 5], ['8', 1], ['9', 1], ['43', 1], ['60', 2], ['64', 2]]"
