vocabulary,ni,occurrences
cnpj,16,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['43', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
cobalt,1,"[['2', 1]]"
coberto,1,"[['23', 1]]"
cobertura,3,"[['3', 6], ['4', 5], ['7', 5]]"
cobra,1,"[['60', 1]]"
cobrado,2,"[['21', 1], ['23', 1]]"
cobrados,2,"[['21', 1], ['23', 1]]"
cobre,1,"[['70', 1]]"
cobrindo,3,"[['3', 1], ['4', 1], ['7', 1]]"
cod,4,"[['11', 2], ['15', 2], ['16', 2], ['18', 2]]"
code,1,"[['23', 1]]"
codigo,13,"[['10', 2], ['11', 3], ['15', 3], ['16', 3], ['18', 3], ['60', 2], ['64', 3], ['68', 3], ['69', 3], ['70', 3], ['71', 3], ['74', 3], ['75', 3]]"
coins,1,"[['22', 1]]"
coisa,2,"[['3', 1], ['23', 1]]"
coisas,4,"[['3', 2], ['4', 1], ['7', 1], ['9', 1]]"
colcci,1,"[['1', 1]]"
colchoes,1,"[['43', 3]]"
colecao,2,"[['1', 1], ['20', 2]]"
colecionaveis,1,"[['20', 8]]"
coletivos,1,"[['20', 1]]"
collectibles,1,"[['22', 1]]"
collection,1,"[['1', 1]]"
colocado,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
colocou,1,"[['24', 1]]"
coloque,2,"[['21', 1], ['23', 1]]"
color,5,"[['21', 2], ['22', 1], ['23', 3], ['24', 2], ['60', 1]]"
colors,1,"[['23', 1]]"
colours,1,"[['22', 8]]"
com,23,"[['1', 3], ['3', 114], ['4', 95], ['7', 87], ['9', 80], ['10', 1], ['11', 6], ['15', 4], ['16', 3], ['18', 6], ['20', 14], ['21', 6], ['23', 7], ['24', 9], ['43', 2], ['60', 3], ['64', 4], ['68', 7], ['69', 9], ['70', 7], ['71', 4], ['74', 7], ['75', 7]]"
combinacao,1,"[['64', 1]]"
come,1,"[['9', 2]]"
comeca,6,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['60', 18]]"
comece,1,"[['20', 1]]"
comentarios,5,"[['10', 1], ['11', 4], ['15', 4], ['16', 4], ['18', 4]]"
comer,1,"[['3', 1]]"
comercial,2,"[['3', 2], ['23', 1]]"
comercio,9,"[['43', 2], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
comes,2,"[['21', 1], ['22', 1]]"
comestiveis,4,"[['3', 13], ['4', 13], ['7', 13], ['9', 13]]"
coming,1,"[['23', 1]]"
commerce,1,"[['60', 1]]"
communication,1,"[['9', 1]]"
commute,1,"[['22', 1]]"
como,10,"[['3', 23], ['4', 22], ['7', 21], ['9', 21], ['11', 3], ['15', 3], ['16', 3], ['18', 3], ['20', 1], ['43', 1]]"
comodo,1,"[['3', 1]]"
compactas,1,"[['43', 1]]"
companheiro,1,"[['69', 1]]"
companies,1,"[['9', 1]]"
comparable,1,"[['22', 1]]"
comparar,3,"[['3', 1], ['4', 1], ['7', 1]]"
compare,4,"[['3', 1], ['4', 1], ['7', 1], ['9', 1]]"
compartilhados,1,"[['20', 1]]"
compartilhamos,4,"[['3', 2], ['4', 2], ['7', 2], ['9', 1]]"
compartilhar,11,"[['3', 1], ['4', 1], ['7', 1], ['9', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['21', 3], ['23', 3], ['69', 1]]"
compass,1,"[['24', 1]]"
compativel,1,"[['9', 2]]"
compensacao,1,"[['3', 1]]"
competitively,1,"[['9', 1]]"
complaints.,1,"[['9', 1]]"
complemento,1,"[['64', 1]]"
completa,4,"[['3', 3], ['4', 3], ['7', 3], ['9', 1]]"
completamente,1,"[['4', 4]]"
completamente.,4,"[['3', 6], ['4', 6], ['7', 6], ['9', 6]]"
complete,1,"[['1', 1]]"
completed,4,"[['11', 3], ['15', 3], ['16', 3], ['18', 3]]"
completo,1,"[['22', 1]]"
componentes,1,"[['8', 1]]"
comportamento,3,"[['44', 2], ['45', 2], ['46', 2]]"
composicao,1,"[['7', 1]]"
compra,19,"[['1', 1], ['2', 9], ['3', 22], ['4', 15], ['7', 15], ['9', 8], ['21', 2], ['22', 1], ['23', 7], ['24', 2], ['43', 2], ['60', 2], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
compra.,6,"[['3', 8], ['4', 6], ['7', 6], ['9', 3], ['21', 1], ['23', 1]]"
comprado,3,"[['3', 1], ['4', 1], ['7', 1]]"
comprador,3,"[['21', 3], ['23', 1], ['24', 1]]"
comprados,4,"[['3', 6], ['4', 6], ['7', 6], ['9', 3]]"
compramos,1,"[['4', 1]]"
comprar,20,"[['3', 1], ['4', 1], ['7', 3], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['20', 3], ['21', 5], ['22', 10], ['23', 5], ['24', 6], ['60', 18], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
comprara,2,"[['21', 1], ['23', 1]]"
compraram,11,"[['2', 7], ['3', 4], ['4', 4], ['7', 4], ['9', 3], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['21', 1], ['23', 1]]"
comprarlo,1,"[['3', 1]]"
compraron,1,"[['3', 1]]"
compras,9,"[['2', 1], ['9', 1], ['10', 1], ['20', 4], ['21', 4], ['22', 5], ['23', 4], ['24', 3], ['43', 2]]"
compras.,1,"[['43', 1]]"
compre,9,"[['1', 1], ['2', 1], ['3', 1], ['20', 4], ['21', 1], ['23', 1], ['43', 3], ['69', 1], ['71', 1]]"
comprei,1,"[['7', 2]]"
comprou,4,"[['3', 2], ['4', 2], ['7', 2], ['9', 2]]"
computador,3,"[['10', 1], ['43', 1], ['60', 1]]"
computadores,17,"[['1', 2], ['2', 3], ['3', 7], ['4', 7], ['7', 7], ['8', 4], ['9', 8], ['20', 1], ['43', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
computers,1,"[['22', 1]]"
comum.,1,"[['4', 1]]"
comunicacao,7,"[['2', 5], ['3', 2], ['4', 2], ['7', 2], ['8', 2], ['9', 1], ['23', 1]]"
comunicados,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
comunidade,12,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['20', 2], ['21', 1], ['22', 1], ['23', 1], ['24', 1]]"
con,2,"[['3', 3], ['9', 8]]"
conceal,1,"[['22', 1]]"
concentrar,1,"[['69', 1]]"
concorda,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
concordia,1,"[['60', 1]]"
cond.,8,"[['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
condicao,5,"[['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1]]"
condicionado,1,"[['43', 1]]"
condicoes,10,"[['1', 1], ['2', 1], ['3', 12], ['4', 12], ['7', 12], ['8', 1], ['9', 12], ['21', 2], ['23', 2], ['43', 1]]"
condicoes.,1,"[['4', 1]]"
condition,4,"[['21', 3], ['22', 1], ['23', 1], ['24', 1]]"
conduta,8,"[['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
conectado,1,"[['20', 1]]"
conectividade,9,"[['8', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
confiabilidade.,4,"[['3', 1], ['4', 1], ['7', 1], ['9', 1]]"
confianca,2,"[['21', 1], ['23', 1]]"
confiare,1,"[['3', 1]]"
confiavel,2,"[['21', 1], ['23', 1]]"
configuracoes,2,"[['3', 2], ['4', 1]]"
confira,6,"[['1', 7], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['9', 1]]"
confirmacao,5,"[['11', 1], ['15', 1], ['16', 1], ['18', 1], ['43', 1]]"
confirmado,2,"[['21', 1], ['23', 1]]"
confirmo,1,"[['9', 1]]"
conforto,2,"[['68', 1], ['74', 1]]"
confuso,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
congo,2,"[['21', 1], ['23', 1]]"
congratulations,4,"[['11', 3], ['15', 3], ['16', 3], ['18', 3]]"
conheca,13,"[['1', 2], ['2', 1], ['3', 2], ['4', 2], ['7', 2], ['8', 1], ['9', 2], ['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['43', 3]]"
conhecendo,1,"[['7', 1]]"
conjugados,1,"[['43', 1]]"
conjunta.,3,"[['3', 1], ['4', 1], ['7', 1]]"
connection,1,"[['23', 1]]"
connectivity,3,"[['21', 1], ['23', 2], ['24', 3]]"
conosco,22,"[['1', 2], ['2', 2], ['3', 2], ['4', 2], ['7', 2], ['8', 3], ['9', 2], ['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['20', 1], ['43', 3], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
consegue,3,"[['3', 1], ['4', 1], ['75', 1]]"
conseguir,4,"[['3', 1], ['7', 2], ['20', 1], ['69', 1]]"
consequently,1,"[['9', 1]]"
considera,4,"[['3', 1], ['4', 1], ['7', 1], ['9', 1]]"
considere,1,"[['9', 1]]"
considering,1,"[['9', 1]]"
consiga,1,"[['20', 3]]"
consistency,1,"[['23', 1]]"
consoles,14,"[['3', 1], ['4', 1], ['7', 1], ['9', 1], ['20', 1], ['22', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
consoles.,1,"[['20', 1]]"
consome,1,"[['3', 1]]"
consorcio,1,"[['43', 3]]"
conspicuously,1,"[['22', 1]]"
constantemente,4,"[['3', 2], ['4', 2], ['7', 2], ['9', 1]]"
construcao,9,"[['1', 1], ['2', 1], ['3', 3], ['4', 3], ['7', 3], ['8', 1], ['9', 3], ['20', 1], ['43', 2]]"
construido,1,"[['69', 1]]"
consul,1,"[['43', 1]]"
consulta,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
consultar,7,"[['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
consulte,12,"[['2', 7], ['3', 13], ['4', 13], ['7', 13], ['8', 1], ['9', 13], ['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['43', 1]]"
consumer,1,"[['22', 1]]"
consumidor,8,"[['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
consumidores,3,"[['3', 1], ['4', 1], ['7', 1]]"
consumiveis,5,"[['3', 3], ['4', 3], ['7', 3], ['9', 3], ['20', 1]]"
consumo,1,"[['69', 1]]"
conta,20,"[['1', 1], ['2', 1], ['3', 2], ['4', 2], ['7', 1], ['8', 1], ['9', 1], ['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
contact,5,"[['10', 2], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
contactar,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
contagem,1,"[['8', 1]]"
contains,1,"[['9', 1]]"
contas,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
contatar,7,"[['3', 1], ['4', 1], ['7', 1], ['9', 1], ['21', 1], ['23', 1], ['24', 1]]"
contate,2,"[['21', 2], ['23', 1]]"
contato,11,"[['8', 1], ['10', 1], ['11', 2], ['15', 2], ['16', 2], ['18', 2], ['20', 3], ['21', 3], ['22', 2], ['23', 3], ['24', 3]]"
contem,1,"[['23', 2]]"
conter,1,"[['3', 1]]"
conteudo,14,"[['1', 2], ['2', 2], ['3', 3], ['4', 3], ['7', 3], ['8', 2], ['9', 4], ['20', 1], ['21', 1], ['22', 1], ['23', 1], ['24', 1], ['68', 1], ['74', 1]]"
conteudos,1,"[['43', 1]]"
contidas,13,"[['9', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
continuar,1,"[['69', 1]]"
continued,1,"[['10', 1]]"
contra,3,"[['3', 5], ['4', 5], ['7', 5]]"
contract,2,"[['21', 2], ['24', 2]]"
contrario,2,"[['15', 1], ['16', 1]]"
contraste,2,"[['15', 2], ['18', 1]]"
contrato,5,"[['20', 1], ['21', 1], ['22', 1], ['23', 1], ['24', 1]]"
controle,6,"[['10', 1], ['11', 2], ['15', 2], ['16', 2], ['18', 2], ['69', 1]]"
conveniencia.,2,"[['21', 1], ['23', 1]]"
conveniente,5,"[['10', 2], ['11', 2], ['15', 2], ['16', 2], ['18', 2]]"
conversar,1,"[['69', 1]]"
converse,1,"[['70', 1]]"
conversor,1,"[['2', 1]]"
cookies,13,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['20', 1], ['21', 1], ['22', 1], ['23', 1], ['24', 1], ['43', 1]]"
cooktop,1,"[['43', 1]]"
coolpad,1,"[['23', 1]]"
copyright,5,"[['20', 1], ['21', 1], ['22', 1], ['23', 1], ['24', 1]]"
cor,8,"[['2', 5], ['3', 8], ['4', 12], ['7', 9], ['9', 3], ['15', 1], ['16', 2], ['18', 2]]"
cor.,2,"[['11', 2], ['15', 2]]"
coral,2,"[['22', 2], ['71', 3]]"
core,17,"[['2', 5], ['8', 6], ['9', 7], ['11', 3], ['15', 3], ['16', 2], ['18', 2], ['21', 1], ['23', 2], ['24', 1], ['60', 3], ['64', 2], ['68', 3], ['70', 3], ['71', 3], ['74', 3], ['75', 1]]"
coreano,6,"[['11', 2], ['15', 2], ['16', 1], ['18', 1], ['21', 1], ['23', 1]]"
coreia,2,"[['21', 2], ['23', 2]]"
cores,5,"[['2', 2], ['3', 1], ['4', 1], ['18', 1], ['22', 7]]"
corning,2,"[['15', 1], ['69', 2]]"
coronitas,4,"[['2', 2], ['3', 3], ['4', 2], ['7', 3]]"
corpo,1,"[['20', 1]]"
corporation,1,"[['2', 1]]"
corporativas,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
correct,1,"[['23', 1]]"
correr,1,"[['3', 2]]"
correspondem,1,"[['24', 1]]"
correspondencia,1,"[['22', 2]]"
correspondente,3,"[['3', 1], ['4', 1], ['7', 1]]"
correspondentes,2,"[['21', 1], ['23', 1]]"
correta,1,"[['15', 1]]"
corretagem,2,"[['21', 2], ['23', 2]]"
correto.,1,"[['4', 2]]"
corretos,1,"[['4', 1]]"
corretos.,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
corrida,1,"[['20', 1]]"
cortex,1,"[['18', 2]]"
cosmo,1,"[['9', 1]]"
costa,3,"[['4', 2], ['21', 2], ['23', 2]]"
costume,1,"[['3', 1]]"
costura,1,"[['43', 1]]"
couldn,1,"[['9', 1]]"
country,1,"[['21', 1]]"
counts,1,"[['22', 1]]"
coupon,1,"[['10', 1]]"
coupons,6,"[['10', 2], ['11', 2], ['15', 2], ['16', 2], ['18', 2], ['22', 1]]"
cover,1,"[['22', 1]]"
covered,1,"[['22', 1]]"
covers,1,"[['23', 1]]"
covid,12,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
cozinha,8,"[['1', 1], ['2', 1], ['3', 3], ['4', 3], ['7', 3], ['8', 1], ['9', 3], ['20', 1]]"
cozinhas,1,"[['43', 1]]"
cpu,4,"[['11', 2], ['15', 1], ['16', 2], ['18', 2]]"
cracked,1,"[['22', 1]]"
crafts,1,"[['22', 1]]"
credito,11,"[['1', 2], ['2', 2], ['3', 4], ['4', 4], ['7', 4], ['8', 2], ['9', 3], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
cresca,1,"[['20', 1]]"
cria,2,"[['68', 1], ['74', 1]]"
criar,1,"[['20', 1]]"
cricket,2,"[['21', 1], ['22', 1]]"
crie,2,"[['68', 1], ['74', 1]]"
criptografa,4,"[['3', 2], ['4', 2], ['7', 2], ['9', 1]]"
criptografia,8,"[['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
criterion,1,"[['1', 1]]"
croacia,3,"[['15', 1], ['21', 2], ['23', 2]]"
croata,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
crowd,1,"[['22', 1]]"
crown,1,"[['9', 1]]"
crucial,1,"[['60', 1]]"
cruz,1,"[['43', 1]]"
crystal,1,"[['22', 1]]"
cuando,2,"[['3', 4], ['9', 1]]"
cuba,2,"[['21', 1], ['23', 1]]"
cuidados,9,"[['1', 3], ['2', 2], ['3', 4], ['4', 4], ['7', 4], ['8', 2], ['9', 4], ['20', 1], ['43', 2]]"
cujo,4,"[['3', 43], ['4', 43], ['7', 43], ['9', 43]]"
cupom,5,"[['10', 3], ['11', 2], ['15', 2], ['16', 2], ['18', 2]]"
cupons,6,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['20', 1]]"
current_slide,1,"[['24', 3]]"
cursos,1,"[['43', 3]]"
curte,1,"[['1', 1]]"
curte.,1,"[['70', 1]]"
curtir,1,"[['70', 1]]"
custo,6,"[['3', 7], ['4', 3], ['7', 1], ['21', 3], ['23', 5], ['24', 4]]"
custom,1,"[['21', 1]]"
customer,2,"[['10', 4], ['23', 1]]"
customers,1,"[['10', 1]]"
custos,5,"[['3', 3], ['4', 3], ['7', 3], ['21', 6], ['23', 6]]"
czench,1,"[['18', 1]]"
d20,1,"[['2', 1]]"
daba,1,"[['3', 2]]"
dac,1,"[['23', 1]]"
dados,8,"[['2', 2], ['3', 1], ['8', 1], ['20', 1], ['21', 2], ['22', 1], ['23', 2], ['24', 1]]"
dados.,1,"[['43', 1]]"
daily,1,"[['23', 1]]"
danet,1,"[['2', 1]]"
daniel,1,"[['7', 1]]"
daniele,1,"[['4', 2]]"
danificado,1,"[['22', 1]]"
danificados,4,"[['3', 1], ['4', 1], ['7', 1], ['9', 1]]"
danish,1,"[['10', 1]]"
danos,3,"[['3', 3], ['4', 3], ['7', 3]]"
daquilo,1,"[['64', 1]]"
dar,7,"[['3', 1], ['20', 1], ['21', 3], ['22', 1], ['23', 3], ['24', 1], ['69', 1]]"
darme,1,"[['3', 1]]"
darussalam,2,"[['21', 2], ['23', 2]]"
das,5,"[['3', 2], ['11', 1], ['15', 2], ['16', 1], ['43', 1]]"
data,4,"[['3', 24], ['4', 24], ['7', 24], ['9', 23]]"
date,1,"[['9', 1]]"
datos,1,"[['3', 2]]"
day,1,"[['9', 1]]"
days,5,"[['9', 4], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
ddr4,1,"[['60', 2]]"
deal,1,"[['23', 2]]"
deal.,1,"[['23', 1]]"
deals,1,"[['22', 2]]"
dealsrus365,1,"[['24', 1]]"
dear,1,"[['10', 2]]"
debito,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
decepcion,1,"[['3', 1]]"
decian,1,"[['3', 1]]"
decir,1,"[['3', 1]]"
decir...,1,"[['3', 1]]"
decoracao,9,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['20', 1], ['43', 1]]"
dedicado,4,"[['3', 2], ['4', 2], ['7', 2], ['11', 1]]"
dedo,1,"[['3', 1]]"
dedo...,1,"[['3', 1]]"
deep,1,"[['22', 1]]"
defasado.,1,"[['3', 1]]"
defaults,1,"[['23', 1]]"
defectuosa,1,"[['3', 1]]"
defeito,4,"[['3', 6], ['4', 6], ['7', 6], ['9', 6]]"
defesa,8,"[['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
definicoes,2,"[['21', 1], ['23', 1]]"
definitiva,1,"[['64', 1]]"
definitivamente,1,"[['3', 1]]"
deixar,1,"[['64', 1]]"
deixe,7,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1]]"
del,1,"[['3', 1]]"
deliberating,1,"[['9', 1]]"
delivery,2,"[['2', 1], ['9', 2]]"
dell,1,"[['43', 1]]"
demais.,1,"[['3', 1]]"
demorou,1,"[['3', 1]]"
densidade,2,"[['3', 1], ['18', 1]]"
dentro,6,"[['3', 2], ['4', 2], ['7', 2], ['9', 1], ['21', 1], ['69', 1]]"
denunciar,2,"[['21', 1], ['23', 1]]"
departamento,7,"[['1', 1], ['2', 2], ['3', 1], ['4', 1], ['7', 1], ['8', 3], ['9', 1]]"
departamentos,16,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['43', 2], ['60', 3], ['64', 2], ['68', 2], ['69', 2], ['70', 2], ['71', 2], ['74', 2], ['75', 2]]"
depende,3,"[['11', 1], ['15', 1], ['16', 1]]"
depilar,1,"[['20', 1]]"
depois,2,"[['21', 1], ['23', 1]]"
deposito,4,"[['11', 2], ['15', 2], ['16', 2], ['18', 2]]"
der,1,"[['3', 2]]"
deram,3,"[['3', 1], ['8', 1], ['24', 10]]"
desastres,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
desative,3,"[['44', 1], ['45', 1], ['46', 1]]"
desbloqueado,5,"[['8', 2], ['21', 4], ['22', 35], ['23', 4], ['24', 1]]"
desbloqueia,1,"[['3', 1]]"
desbloqueio,8,"[['11', 1], ['15', 1], ['16', 1], ['18', 3], ['44', 2], ['45', 2], ['46', 2], ['75', 2]]"
descobrir,1,"[['10', 1]]"
descomplicada,3,"[['3', 2], ['4', 2], ['7', 2]]"
desconozco,1,"[['9', 1]]"
descontinuado,1,"[['3', 1]]"
desconto,13,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['20', 3], ['22', 8], ['24', 2], ['68', 1], ['69', 1], ['70', 1], ['74', 1], ['75', 1]]"
described,1,"[['21', 1]]"
descricao,10,"[['3', 4], ['21', 2], ['23', 2], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
description,1,"[['21', 3]]"
description.,1,"[['23', 1]]"
descritas,4,"[['3', 13], ['4', 13], ['7', 13], ['9', 13]]"
descritivos.,8,"[['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
descrito,1,"[['7', 1]]"
descubra,1,"[['1', 2]]"
desculpas,3,"[['44', 1], ['45', 1], ['46', 1]]"
desde,4,"[['3', 20], ['4', 20], ['7', 20], ['9', 21]]"
deseja,8,"[['1', 1], ['2', 1], ['3', 1], ['4', 1], ['7', 1], ['8', 1], ['9', 1], ['64', 1]]"
desejados,2,"[['2', 1], ['20', 1]]"
desejar,1,"[['69', 1]]"
desejos,5,"[['10', 2], ['11', 2], ['15', 2], ['16', 2], ['18', 2]]"
desempenho,4,"[['3', 2], ['4', 4], ['69', 3], ['70', 1]]"
desempenho.,1,"[['69', 1]]"
desempeno,1,"[['9', 1]]"
desenhos,1,"[['20', 1]]"
desenvolvedores,1,"[['20', 1]]"
desenvolvimento,1,"[['75', 1]]"
desgaste,2,"[['21', 1], ['23', 1]]"
design,3,"[['60', 1], ['68', 1], ['74', 1]]"
designed,1,"[['24', 1]]"
desistencia,1,"[['43', 1]]"
desktops,1,"[['9', 1]]"
deslizar.,1,"[['70', 1]]"
despacho,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
desportativa,1,"[['10', 1]]"
desproporcional,1,"[['3', 1]]"
despues,1,"[['3', 1]]"
desse,1,"[['3', 1]]"
destaca,2,"[['3', 1], ['7', 1]]"
destaque,2,"[['2', 1], ['3', 1]]"
destaque.,1,"[['4', 1]]"
destaques,8,"[['60', 1], ['64', 1], ['68', 1], ['69', 1], ['70', 1], ['71', 1], ['74', 1], ['75', 1]]"
deste,3,"[['21', 1], ['23', 1], ['24', 2]]"
destes,4,"[['3', 1], ['4', 1], ['7', 1], ['24', 2]]"
destino.,4,"[['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
details.,1,"[['21', 2]]"
detalhamento,3,"[['3', 1], ['4', 1], ['7', 1]]"
detalhes,15,"[['2', 7], ['3', 8], ['4', 8], ['7', 8], ['9', 3], ['11', 3], ['15', 3], ['16', 3], ['18', 3], ['20', 1], ['21', 6], ['22', 1], ['23', 7], ['24', 2], ['43', 1]]"
deteccao,1,"[['69', 1]]"
detectado,3,"[['44', 1], ['45', 1], ['46', 1]]"
detection,1,"[['3', 1]]"
deutschland,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
deve,6,"[['3', 32], ['4', 32], ['7', 32], ['9', 32], ['15', 1], ['64', 1]]"
devem,4,"[['3', 7], ['4', 7], ['7', 7], ['9', 7]]"
device,1,"[['22', 1]]"
devices,1,"[['22', 2]]"
devices.,1,"[['22', 1]]"
devidas,2,"[['21', 1], ['23', 1]]"
devido,4,"[['4', 1], ['44', 1], ['45', 1], ['46', 1]]"
devo,1,"[['3', 1]]"
devolucao,12,"[['3', 219], ['4', 219], ['7', 219], ['9', 216], ['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1], ['21', 6], ['23', 3], ['24', 2]]"
devolucao.,4,"[['3', 14], ['4', 14], ['7', 14], ['9', 14]]"
devolucion,1,"[['3', 1]]"
devolucoes,10,"[['1', 2], ['2', 2], ['3', 50], ['4', 50], ['7', 50], ['8', 2], ['9', 50], ['21', 1], ['23', 3], ['43', 1]]"
devolucoes.,5,"[['3', 3], ['4', 3], ['7', 3], ['9', 3], ['21', 1]]"
devolver,4,"[['3', 24], ['4', 24], ['7', 24], ['9', 24]]"
devolvidas,4,"[['3', 1], ['4', 1], ['7', 1], ['9', 1]]"
devolvidos,4,"[['3', 39], ['4', 39], ['7', 39], ['9', 39]]"
dez,2,"[['23', 2], ['24', 2]]"
dia,14,"[['1', 1], ['2', 1], ['3', 6], ['4', 4], ['7', 4], ['8', 1], ['9', 2], ['20', 3], ['21', 2], ['22', 1], ['23', 2], ['24', 1], ['43', 3], ['69', 1]]"
dia.,3,"[['3', 2], ['4', 2], ['7', 2]]"
diagonal,1,"[['3', 2]]"
dial,1,"[['3', 1]]"
dialing,1,"[['24', 1]]"
diario,2,"[['3', 1], ['4', 1]]"
dias,13,"[['2', 2], ['3', 118], ['4', 119], ['7', 117], ['8', 2], ['9', 117], ['11', 2], ['15', 2], ['16', 2], ['18', 4], ['21', 2], ['24', 1], ['70', 1]]"
dias.,3,"[['3', 5], ['4', 5], ['7', 5]]"
dias1,1,"[['70', 1]]"
dicas,1,"[['43', 2]]"
dicho,2,"[['3', 1], ['9', 1]]"
die,1,"[['3', 1]]"
diecast,1,"[['20', 1]]"
diese,1,"[['3', 1]]"
diesen,1,"[['3', 1]]"
diferenca,2,"[['15', 1], ['24', 1]]"
diferencia,1,"[['9', 1]]"
diferente.,1,"[['3', 1]]"
diferentes,5,"[['10', 1], ['11', 1], ['15', 1], ['16', 1], ['18', 1]]"
difficult,1,"[['9', 1]]"
dificil,1,"[['3', 2]]"
digicert,5,"[['20', 1], ['21', 1], ['22', 1], ['23', 1], ['24', 1]]"
